Year,70+,5-14,15-49,50-69
1990,233.16379358158196,2.008451074524689,17.978884728055593,91.24578626165045
1991,229.75325981706223,1.9703517515896047,17.86998089152137,90.20005963093126
1992,227.68228141460077,1.9379904995503372,17.881188511666146,89.61820855841778
1993,226.16777813713992,1.8955345833505153,17.907677638132487,89.33721253715365
1994,224.70924731938572,1.8480595665453432,18.01217944283055,89.39131640548659
1995,222.73030542964773,1.8000213629917516,18.059794020102675,89.2169676812131
1996,220.88802992560107,1.7401610656818953,17.93563265599891,88.413263864575
1997,218.50274865361718,1.68005288102351,17.712760873384763,87.30276613115409
1998,217.30363157525423,1.642534405838971,17.631360620952467,86.67856405854708
1999,216.55102862008636,1.609630030876935,17.550206320120967,86.4026302095264
2000,215.86975285104137,1.579304251674568,17.53844340486339,86.26984683537448
2001,212.26522010230542,1.5214651615580124,17.093282730452415,84.44268042924361
2002,207.92337026401185,1.4585720129679083,16.721246542523787,82.51461024745637
2003,203.06612165260978,1.4086287496462946,16.370579005557328,80.53636070353485
2004,196.99986990134565,1.3711052134763144,15.934984634165717,78.04297411011333
2005,190.56280854393563,1.3281935414270192,15.440576379958276,75.28476821333389
2006,185.08670946047602,1.2756528000619445,14.922687497615254,72.92115558692129
2007,179.61119111142338,1.2312871625841473,14.34249896576638,70.50335536378594
2008,174.7293905753267,1.18725079461489,13.825132524560097,68.35870674838637
2009,169.86611851100838,1.1421500314251356,13.260698242275014,66.10851264051928
2010,164.3589955721149,1.100235950610853,12.704227521199233,63.69725844520857
2011,158.83721864082761,1.0551407262702435,12.116105999548884,61.257279389647096
2012,153.8927016313726,1.0068921326403115,11.60536938381902,59.09951586006016
2013,149.56879240586304,0.9571048938525657,11.176561927483165,57.207746205926476
2014,145.72164100102808,0.9143559248380008,10.804434605106684,55.459561265176816
2015,141.779759810842,0.8718701093299212,10.465667649121231,53.73838945985908
2016,137.3015672438958,0.8296097689380254,10.094670093945192,51.9199215141537
2017,132.9323894854735,0.7864413168897871,9.776883841718409,50.183227408048744
